variable,subdomain,is_summary,mean_pct_missing,n_subjects_2+_waves,mean_waves_per_subject,mean_variance,miss_score,long_score,var_score,summary_bonus,composite_score
nt_y_stq__socmed_001__07,social_media,False,90.82333333333334,0,1.0,0.0386,0.08815307096104608,0.0,9.167833309991244e-15,0.0,0.026445921288315653
nt_y_stq__screen__wkdy__min_003__01,screen_weekday,False,91.19,0,1.0,188.2228,0.0844702613120848,0.0,5.909277664064062e-11,0.0,0.025341078405443994
nt_y_stq__screen__wkdy__hr_003__01,screen_weekday,False,91.19,0,1.0,3.0111,0.0844702613120848,0.0,9.42434426253449e-13,0.0,0.025341078393813925
nt_y_stq__screen__wkdy__min_004__01,screen_weekday,False,91.73,0,1.0,155.9423,0.0790464871017964,0.0,4.8957768313134716e-11,0.0,0.023713946140330473
nt_y_stq__screen__wkdy__hr_004__01,screen_weekday,False,91.82166666666667,0,1.0,2.7323,0.078125784689556,0.0,8.549004561566835e-13,0.0,0.02343773540703778
nt_y_stq__dlt_001,other,False,92.16666666666667,0,1.0,102849.006,0.07466059561076066,0.0,3.2291180031803294e-08,0.0,0.022398185141464202
nt_y_stq__socmed_006__dk,social_media,False,95.65333333333332,288,1.12,2417.6768,0.03964042385791078,0.025748770675011176,7.590675247328742e-10,0.0,0.01961675851169009
nt_y_stq__screen__wkdy__min_008__01,screen_weekday,False,93.47666666666667,0,1.0,204.2811,0.06150292113765354,0.0,6.41345512174157e-11,0.0,0.018450876354122972
nt_y_stq__screen__wkdy__hr_008__01,screen_weekday,False,93.47666666666667,0,1.0,5.5981,0.06150292113765354,0.0,1.754666781491372e-12,0.0,0.018450876341646997
nt_y_stq__socmed_005__dk,social_media,False,96.11333333333334,255,1.11,3151.9695,0.035020171752850104,0.022798390701832812,9.896111231692924e-10,0.0,0.017345568934327097
nt_y_stq__dapp_003,other,False,99.60000000000001,15,1.09,3513.8094,2.220446049250313e-16,0.0013410818059901655,1.1032168727618917e-09,0.0,0.0004023247624404908
nt_y_stq__dapp_002,other,False,99.60000000000001,15,1.09,2547.1211,2.220446049250313e-16,0.0013410818059901655,7.997087495728911e-10,0.0,0.00040232470173886615
nt_y_stq__dapp_004,other,False,99.60000000000001,15,1.09,2546.2835,2.220446049250313e-16,0.0013410818059901655,7.994457709023279e-10,0.0,0.0004023247016862704
